Sr.No.,Colleges,CourseName,OBC,City
1,"College Of Engineering, Pune",Computer Engineering,99.67,Pune
2,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Computer Engineering,99.646,"Matuga , Mumbai"
3,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Information Technology,99.493,"Matuga , Mumbai"
4,"College Of Engineering, Pune",Electronics and Telecommunication Engineering,99.34,Pune
5,"Pune Institute of Computer Technology, Dhankavdi, Pune",Computer Engineering,99.224,"Dhankavdi, Pune"
6,"Bhartiya Vidhya Bhavan's Sardar Patel Institute Of Technology , Andheri, Mumbai",Computer Engineering,99.023,"Andheri, Mumbai"
7,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Electronics & Telecommunication Engineering,99.017,"Matuga , Mumbai"
8,"Pune Institute of Computer Technology, Dhankavdi, Pune",Information Technology,98.996,"Dhankavdi, Pune"
9,"Walchand College of Engineering, Sangli",Computer Science and Engineering,98.949,Sangli
10,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Electronics Engineering,98.891,"Matuga , Mumbai"
11,"Bhartiya Vidhya Bhavan's Sardar Patel Institute Of Technology , Andheri, Mumbai",CSE(AI & ML),98.848,"Andheri, Mumbai"
12,"Walchand College of Engineering, Sangli",Information Technology,98.66,Sangli
13,"Bhartiya Vidhya Bhavan's Sardar Patel Institute Of Technology , Andheri, Mumbai",CSE(DS),98.512,"Andheri, Mumbai"
14,"College Of Engineering, Pune",Electrical Engineering,98.461,Pune
15,"College Of Engineering, Pune",Instrumentation & Control  Engineering,98.291,Pune
16,"College Of Engineering, Pune",Mechanical Engineering,97.813,Pune
17,"Walchand College of Engineering, Sangli",Electronics Engineering,97.748,Sangli
18,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",Computer Engineering,97.699,
19,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Electrical Engineering,97.508,"Matuga , Mumbai"
20,"Institute Of Chemical Technology , Matuga , Mumbai",Chemical Engineering,97.426,"Matuga , Mumbai"
21,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",Information Technology,97.383,
22,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Mechanical Engineering,97.268,"Matuga , Mumbai"
23,"B.R.AC.T'S Vishwakarma Institute of Technology,Kondhawa,Pune",Computer Engg,97.228,Pune
24,"College Of Engineering, Pune",Civil Engineering,97.21,Pune
25,"Pune Institute of Computer Technology, Dhankavdi, Pune",Electronics & Telecommunication Engineering,97.0386,"Dhankavdi, Pune"
26,"Pune Vidyarthi Griha's College of Engineering & Technology,Pune",Computer Engg,97.013,Pune
27,"Institute Of Chemical Technology , Matuga , Mumbai",Polymer Engineering & Technology,96.996,"Matuga , Mumbai"
28,"Bhartiya Vidhya Bhavan's Sardar Patel Institute Of Technology , Andheri, Mumbai",Electronics and telecommunication Engineering,96.921,"Andheri, Mumbai"
29,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",CSE(AI&ML),96.889,
30,"Institute Of Chemical Technology , Matuga , Mumbai",Surface Coating Technology,96.627,"Matuga , Mumbai"
31,"Pune Vidyarthi Griha's College of Engineering & Technology,Pune",Information Technology,96.524,Pune
32,"Government College of Engineering, Aurangabad",Computer Science & Engineering,96.1081,Aurangabad
33,"Government College Of Engineering, Amravati ",Computer Science & Engineering,95.9583,Amravati
34,"B.R.AC.T'S Vishwakarma Institute of Technology,Kondhawa,Pune",Information Technology,95.924,Pune
35,"Institute Of Chemical Technology , Matuga , Mumbai",Pharmactical Chemistry & Technology,95.475,"Matuga , Mumbai"
36,"College Of Engineering, Pune",Manufacturing & Science Engi8neering,95.298,Pune
37,"Government College of Engineering, Aurangabad",Information Technology,94.9002,Aurangabad
38,"Institute Of Chemical Technology , Matuga , Mumbai",Food Enginnering & Technology,94.793,"Matuga , Mumbai"
39,"Government College Of Engineering, Amravati ",Information Technology,94.6561,Amravati
40,"MIT Academy of Engineering,Alandi, Pune",Computer Engineering,94.562,"Alandi, Pune"
41,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Computer Science and engg,94.51,Nanded
42,"Institute Of Chemical Technology , Matuga , Mumbai","Oil, Oleochemicals&SurfactantsvTechnology",94.469,"Matuga , Mumbai"
43,"College Of Engineering, Pune",Metallurgy & Material Technology,94.469,Pune
44,"Sardar Patel College of Engineering, Andheri",Electrical Engineering,94.365,Andheri
45,"Sardar Patel College of Engineering, Andheri",Mechanical Engineering,93.944,Andheri
46,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Civil Engineering,93.779,"Matuga , Mumbai"
47,"B.R.AC.T'S Vishwakarma Institute of Technology,Kondhawa,Pune",A.I & D.S,93.778,Pune
48,"Walchand College of Engineering, Sangli",Electrical Engineering,93.572,Sangli
