Sr.No.,Colleges,CourseName,EWS,City
1,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Computer Engineering,99.763,"Matunga, Mumbai"
2,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Computer Engineering,99.763,"Matunga, Mumbai"
3,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Information Technology,99.627,"Matunga, Mumbai"
4,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Information Technology,99.627,"Matunga, Mumbai"
5,"College Of Engineering, Pune",Electronics and Telecommunication Engineering,99.437,Pune
6,"Pune Institute of Computer Technology, Dhankavdi, Pune",Computer Engineering,99.334,"Dhankavdi, Pune"
7,"Walchand College of Engineering, Sangli",Computer Science and Engineering,99.3002,Sangli
8,"Bhartiya Vidhya Bhavan's Sardar Patel Institute Of Technology , Andheri, Mumbai",Computer Engineering,99.253,"Andheri, Mumbai"
9,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Electronics & Telecommunication Engineering,99.181,"Matunga, Mumbai"
10,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Electronics & Telecommunication Engineering,99.181,"Matunga, Mumbai"
11,"College Of Engineering, Pune",Electrical Engineering,99.07,Pune
12,"Pune Institute of Computer Technology, Dhankavdi, Pune",Information Technology,99.046,"Dhankavdi, Pune"
13,"Walchand College of Engineering, Sangli",Information Technology,98.991,Sangli
14,"Bhartiya Vidhya Bhavan's Sardar Patel Institute Of Technology , Andheri, Mumbai",CSE(AI & ML),98.94,"Andheri, Mumbai"
15,"Bhartiya Vidhya Bhavan's Sardar Patel Institute Of Technology , Andheri, Mumbai",CSE(DS),98.841,"Andheri, Mumbai"
16,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",Computer Engineering,98.66,Pune
17,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Electronics Engineering,98.585,"Matunga, Mumbai"
18,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Electronics Engineering,98.585,"Matunga, Mumbai"
19,"Institute Of Chemical Technology , Matuga , Mumbai",Chemical Engineering,98.556,"Matuga , Mumbai"
20,"College Of Engineering, Pune",Mechanical Engineering,98.53,Pune
21,"College Of Engineering, Pune",Instrumentation & Control  Engineering,98.204,Pune
22,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Electrical Engineering,98.021,"Matunga, Mumbai"
23,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Electrical Engineering,98.021,"Matunga, Mumbai"
24,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",Information Technology,97.888,Pune
25,"Pune Institute of Computer Technology, Dhankavdi, Pune",Electronics & Telecommunication Engineering,97.876,"Dhankavdi, Pune"
26,"B.R.AC.T'S Vishwakarma Institute of Technology,Kondhawa,Pune",Computer Engg,97.639,Pune
27,"College Of Engineering, Pune",Civil Engineering,97.507,Pune
28,"Bhartiya Vidhya Bhavan's Sardar Patel Institute Of Technology , Andheri, Mumbai",Electronics and telecommunication Engineering,97.369,"Andheri, Mumbai"
29,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",CSE(AI&ML),97.245,Pune
30,"Walchand College of Engineering, Sangli",Mechanical Engineering,97.098,Sangli
31,"B.R.AC.T'S Vishwakarma Institute of Technology,Kondhawa,Pune",Information Technology,97.08,Pune
32,"Walchand College of Engineering, Sangli",Electrical Engineering,97.047,Sangli
33,"Pune Vidyarthi Griha's College of Engineering & Technology,Pune",Computer Engg,96.883,Pune
34,"Institute Of Chemical Technology , Matuga , Mumbai",Polymer Engineering & Technology,96.824,"Matuga , Mumbai"
35,"Sardar Patel College of Engineering, Andheri",Electrical Engineering,96.562,Andheri
36,"Sardar Patel College of Engineering, Andheri",Electrical Engineering,96.562,Andheri
37,"Government College of Engineering, Aurangabad",Computer Science & Engineering,96.5363,Aurangabad
38,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Civil Engineering,96.386,"Matunga, Mumbai"
39,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Civil Engineering,96.386,"Matunga, Mumbai"
40,"Pune Vidyarthi Griha's College of Engineering & Technology,Pune",Information Technology,96.342,Pune
41,"College Of Engineering, Pune",Manufacturing & Science Engi8neering,96.336,Pune
42,"Institute Of Chemical Technology , Matuga , Mumbai",Pharmactical Chemistry & Technology,96.313,"Matuga , Mumbai"
43,"Institute Of Chemical Technology , Matuga , Mumbai",Food Enginnering & Technology,96.076,"Matuga , Mumbai"
44,"Sardar Patel College of Engineering, Andheri",Mechanical Engineering,95.93,Andheri
45,"Sardar Patel College of Engineering, Andheri",Mechanical Engineering,95.93,Andheri
46,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Computer Science and engg,95.65,Nanded
47,"Government College of Engineering, Aurangabad",Information Technology,95.6091,Aurangabad
48,"College Of Engineering, Pune",Metallurgy & Material Technology,95.475,Pune
49,"Walchand College of Engineering, Sangli",Civil Engineering,95.295,Sangli
50,"B.R.AC.T'S Vishwakarma Institute of Technology,Kondhawa,Pune",A.I & D.S,95.136,Pune
51,"Government College Of Engineering, Amravati ",Computer Science & Engineering,95.0512,Amravati
52,"Sardar Patel College of Engineering, Andheri",Civil Engineering,94.947,Andheri
53,"Sardar Patel College of Engineering, Andheri",Civil Engineering,94.947,Andheri
54,"Institute Of Chemical Technology , Matuga , Mumbai",Surface Coating Technology,94.946,"Matuga , Mumbai"
55,"MIT Academy of Engineering,Alandi, Pune",Computer Engineering,94.9,"Alandi, Pune"
56,"Institute Of Chemical Technology , Matuga , Mumbai","Oil, Oleochemicals&SurfactantsvTechnology",94.776,"Matuga , Mumbai"
57,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Information Technology,94.776,Nanded
58,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",Electronics and Telecommunication Engineering,94.767,Pune
59,"Government College of Engineering, Aurangabad",Mechanical Engineering,94.4073,Aurangabad
60,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Production Engineering(Sandwich),94.268,"Matunga, Mumbai"
61,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Production Engineering(Sandwich),94.268,"Matunga, Mumbai"
62,"College Of Engineering, Pune",Computer Engineering,94.1228,Pune
63,"Bharati Vidyapeeth College of Engineering, Navi Mumbai",Computer Engineering,94.083,Navi Mumbai
64,"KIT college of enginieering(Autonomus), Kolhapur",Computer Science and engineering,93.9682991,Kolhapur
65,"Government College Of Engineering, Amravati ",Information Technology,93.8349,Amravati
66,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Mechanical Engineering,93.585,"Matunga, Mumbai"
67,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Mechanical Engineering,93.585,"Matunga, Mumbai"
68,"Rajarambapu Institute of Technology , Islampur",Computer Science & Engineering,93.499,Islampur
69,"B.R.AC.T'S Vishwakarma Institute of Technology,Kondhawa,Pune",E & TC,93.083,Pune
70,"Institute Of Chemical Technology , Matuga , Mumbai",Dyestuff Technology,92.873,"Matuga , Mumbai"
71,"KIT college of enginieering(Autonomus), Kolhapur",CSE(DS),92.6510305,Kolhapur
72,"Government College of Engineering, Aurangabad",Electronics & Telecommunication Engineering,92.651,Aurangabad
