Sr.No,College Name ,Branch ,NT-D
1,"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",Computer Science and Engineering,93.17
2,"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",CSE(Data Science),89.54
3,"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",CSE(Artifical Intelligence and Machine Learning),81.75
4,"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",Electronics and Telecommunication Engineering,74.52
5,"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",Electrical Engineering,37.54
6,"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",Civil Engineering,28.94
7,"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",Mechanical Engineering,8.53
8,"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",Bio Technology,0
9,"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",Computer Science and Business Systems,0
10,"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",Civil and Environmental Engineering,0
