Sr.No,College Name ,Branch ,OPEN
1,"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",Computer Science and Engineering,93.71
2,"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",CSE(Data Science),91.54
3,"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",CSE(Artifical Intelligence and Machine Learning),90.52
4,"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",Computer Science and Business Systems,87.41
5,"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",Electronics and Telecommunication Engineering,86.52
6,"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",Bio Technology,75.64
7,"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",Electrical Engineering,74.36
8,"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",Mechanical Engineering,59.06
9,"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",Civil Engineering,54.91
10,"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",Civil and Environmental Engineering,45.27
