Sr.No.,College Name,CourseName,NT-C
1,"KIT college of enginieering(Autonomus), Kolhapur",Computer Science and engineering,91.34
2,"KIT college of enginieering(Autonomus), Kolhapur",CSE(DS),89.87
3,"KIT college of enginieering(Autonomus), Kolhapur",CSE(AIML),87.08
4,"KIT college of enginieering(Autonomus), Kolhapur",CSBS,86.31
5,"KIT college of enginieering(Autonomus), Kolhapur",Electronics and Telecommunication Engineering,79.28
6,"KIT college of enginieering(Autonomus), Kolhapur",Electrical engineering,74.18
7,"KIT college of enginieering(Autonomus), Kolhapur",Mechanical Engineering,50.82
8,"KIT college of enginieering(Autonomus), Kolhapur",Bio Technology,44.65
9,"KIT college of enginieering(Autonomus), Kolhapur",Civil Engineering,43.01
10,"KIT college of enginieering(Autonomus), Kolhapur",Environmental Engineering,6.95
