Sr.No.,College Name,CourseName,VJ
1,"KIT college of enginieering(Autonomus), Kolhapur",Computer Science and engineering,86.5103056
2,"KIT college of enginieering(Autonomus), Kolhapur",CSE(DS),85.60
3,"KIT college of enginieering(Autonomus), Kolhapur",CSE(AIML),82.3797757
4,"KIT college of enginieering(Autonomus), Kolhapur",Electronics and Telecommunication Engineering,72.5765063
5,"KIT college of enginieering(Autonomus), Kolhapur",CSBS,70.7220669
6,"KIT college of enginieering(Autonomus), Kolhapur",Electrical engineering,44.7418375
7,"KIT college of enginieering(Autonomus), Kolhapur",Civil Engineering,21.2317049
8,"KIT college of enginieering(Autonomus), Kolhapur",Mechanical Engineering,8.60
9,"KIT college of enginieering(Autonomus), Kolhapur",Bio Technology,0
10,"KIT college of enginieering(Autonomus), Kolhapur",Environmental Engineering,0.00
