Sr.No.,College Name,,CourseName,EWS
1,"KIT college of enginieering(Autonomus), Kolhapur",,Computer Science and engineering,93.9682991
2,"KIT college of enginieering(Autonomus), Kolhapur",,CSE(DS),91.6809035
3,"KIT college of enginieering(Autonomus), Kolhapur",,CSE(AIML),92.6510305
4,"KIT college of enginieering(Autonomus), Kolhapur",,CSBS,89.8095193
5,"KIT college of enginieering(Autonomus), Kolhapur",,Electronics and Telecommunication Engineering,87.2542051
6,"KIT college of enginieering(Autonomus), Kolhapur",,Electrical engineering,77.0895594
7,"KIT college of enginieering(Autonomus), Kolhapur",,Bio Technology,74.10
8,"KIT college of enginieering(Autonomus), Kolhapur",,Civil Engineering,58.8006082
9,"KIT college of enginieering(Autonomus), Kolhapur",,Environmental Engineering,46.1727561
10,"KIT college of enginieering(Autonomus), Kolhapur",,Mechanical Engineering,67.1125395
