Sr.No.,Sr.No.,College Name,CourseName,NT-B
1,1,"KIT college of enginieering(Autonomus), Kolhapur",Computer Science and engineering,88.54
2,2,"KIT college of enginieering(Autonomus), Kolhapur",CSE(DS),85.25
5,3,"KIT college of enginieering(Autonomus), Kolhapur",Electronics and Telecommunication Engineering,78.15
8,4,"KIT college of enginieering(Autonomus), Kolhapur",Civil Engineering,35.6598862
10,5,"KIT college of enginieering(Autonomus), Kolhapur",Mechanical Engineering,29.33
3,6,"KIT college of enginieering(Autonomus), Kolhapur",CSE(AIML),0
4,7,"KIT college of enginieering(Autonomus), Kolhapur",CSBS,0.00
6,8,"KIT college of enginieering(Autonomus), Kolhapur",Electrical engineering,0.00
7,9,"KIT college of enginieering(Autonomus), Kolhapur",Bio Technology,0.00
9,10,"KIT college of enginieering(Autonomus), Kolhapur",Environmental Engineering,0
