Sr.No.,College Name,CourseName,OBC
1,"KIT college of enginieering(Autonomus), Kolhapur",Computer Science and engineering,90.12
2,"KIT college of enginieering(Autonomus), Kolhapur",CSE(DS),89.06
3,"KIT college of enginieering(Autonomus), Kolhapur",CSE(AIML),87.03
4,"KIT college of enginieering(Autonomus), Kolhapur",CSBS,82.3797757
5,"KIT college of enginieering(Autonomus), Kolhapur",Electronics and Telecommunication Engineering,83.40
6,"KIT college of enginieering(Autonomus), Kolhapur",Electrical engineering,69.60
7,"KIT college of enginieering(Autonomus), Kolhapur",Bio Technology,76.49
8,"KIT college of enginieering(Autonomus), Kolhapur",Civil Engineering,42.79
9,"KIT college of enginieering(Autonomus), Kolhapur",Environmental Engineering,0
10,"KIT college of enginieering(Autonomus), Kolhapur",Mechanical Engineering,17.51
