Sr.No.,College Name,CourseName,OPEN
1,"KIT college of enginieering(Autonomus), Kolhapur",Computer Science and engineering,92.93
2,"KIT college of enginieering(Autonomus), Kolhapur",CSE(AIML),91.52
3,"KIT college of enginieering(Autonomus), Kolhapur",CSE(DS),91.04
4,"KIT college of enginieering(Autonomus), Kolhapur",CSBS,87.58
5,"KIT college of enginieering(Autonomus), Kolhapur",Electronics and Telecommunication Engineering,86.56
6,"KIT college of enginieering(Autonomus), Kolhapur",Electrical engineering,75.79
7,"KIT college of enginieering(Autonomus), Kolhapur",Bio Technology,70.93
8,"KIT college of enginieering(Autonomus), Kolhapur",Environmental Engineering,52.2301039
9,"KIT college of enginieering(Autonomus), Kolhapur",Mechanical Engineering,48.14
10,"KIT college of enginieering(Autonomus), Kolhapur",Civil Engineering,41.48
