Sr.No.,Sr.No.,College Name,CourseName,VJDT
1,1,"KIT college of enginieering(Autonomus), Kolhapur",Computer Science and engineering,78.2814198
2,2,"KIT college of enginieering(Autonomus), Kolhapur",CSE(DS),67.7143135
3,3,"KIT college of enginieering(Autonomus), Kolhapur",CSE(AIML),66.4465439
4,4,"KIT college of enginieering(Autonomus), Kolhapur",CSBS,0.00
5,5,"KIT college of enginieering(Autonomus), Kolhapur",Electronics and Telecommunication Engineering,33.083064
6,6,"KIT college of enginieering(Autonomus), Kolhapur",Electrical engineering,0.00
7,7,"KIT college of enginieering(Autonomus), Kolhapur",Bio Technology,0.00
8,8,"KIT college of enginieering(Autonomus), Kolhapur",Civil Engineering,0.00
9,9,"KIT college of enginieering(Autonomus), Kolhapur",Environmental Engineering,0
10,10,"KIT college of enginieering(Autonomus), Kolhapur",Mechanical Engineering,0.00
