Sr.No.,Colleges,CourseName,NT-C,City
1,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Computer Engineering,99.653,"Matuga , Mumbai"
2,"College Of Engineering, Pune",Computer Engineering,99.506,Pune
3,"College Of Engineering, Pune",Electronics and Telecommunication Engineering,99.485,Pune
4,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Information Technology,99.332,"Matuga , Mumbai"
5,"Walchand College of Engineering, Sangli",Computer Science and Engineering,99.159,Sangli
6,"Bhartiya Vidhya Bhavan's Sardar Patel Institute Of Technology , Andheri, Mumbai",Computer Engineering,98.858,"Andheri, Mumbai"
7,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Electronics & Telecommunication Engineering,98.757,"Matuga , Mumbai"
8,"Pune Institute of Computer Technology, Dhankavdi, Pune",Computer Engineering,98.518,"Dhankavdi, Pune"
9,"Pune Institute of Computer Technology, Dhankavdi, Pune",Information Technology,98.3555,"Dhankavdi, Pune"
10,"Bhartiya Vidhya Bhavan's Sardar Patel Institute Of Technology , Andheri, Mumbai",CSE(AI & ML),98.274,"Andheri, Mumbai"
11,"Walchand College of Engineering, Sangli",Information Technology,98.273,Sangli
12,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",Computer Engineering,97.971,Pune
13,"College Of Engineering, Pune",Mechanical Engineering,97.84,Pune
14,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Electrical Engineering,97.813,"Matuga , Mumbai"
15,"College Of Engineering, Pune",Electrical Engineering,97.813,Pune
16,"Institute Of Chemical Technology , Matuga , Mumbai",Chemical Engineering,97.378,"Matuga , Mumbai"
17,"Bhartiya Vidhya Bhavan's Sardar Patel Institute Of Technology , Andheri, Mumbai",CSE(DS),97.369,"Andheri, Mumbai"
18,"Walchand College of Engineering, Sangli",Electronics Engineering,97.228,Sangli
19,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Electronics Engineering,97.227,"Matuga , Mumbai"
20,"B.R.AC.T'S Vishwakarma Institute of Technology,Kondhawa,Pune",Computer Engg,97.2,Pune
21,"College Of Engineering, Pune",Civil Engineering,97.1,Pune
22,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",Information Technology,96.96,Pune
23,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Civil Engineering,96.867,"Matuga , Mumbai"
24,"College Of Engineering, Pune",Instrumentation & Control  Engineering,96.837,Pune
25,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Mechanical Engineering,96.362,"Matuga , Mumbai"
26,"Pune Institute of Computer Technology, Dhankavdi, Pune",Electronics & Telecommunication Engineering,96.31,"Dhankavdi, Pune"
27,"Sardar Patel College of Engineering, Andheri",Mechanical Engineering,95.372,"Andheri, Mumbai"
28,"Government College of Engineering, Aurangabad",Computer Science & Engineering,95.2086,Aurangabad
29,"Bhartiya Vidhya Bhavan's Sardar Patel Institute Of Technology , Andheri, Mumbai",Electronics and telecommunication Engineering,95.195,"Andheri, Mumbai"
30,"Walchand College of Engineering, Sangli",Mechanical Engineering,94.921,Sangli
31,"B.R.AC.T'S Vishwakarma Institute of Technology,Kondhawa,Pune",Information Technology,94.708,Pune
32,"Government College Of Engineering, Amravati ",Computer Science & Engineering,94.6268,Amravati
33,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",CSE(AI&ML),94.415,Pune
34,"Government College Of Engineering, Amravati ",Information Technology,94.3125,Amravati
35,"MIT Academy of Engineering,Alandi, Pune",Computer Engineering,93.714,"Alandi, Pune"
36,"B.R.AC.T'S Vishwakarma Institute of Technology,Kondhawa,Pune",A.I & D.S,93.572,Pune
37,"Government College of Engineering, Aurangabad",Information Technology,93.3722,Aurangabad
38,"Sardar Patel College of Engineering, Andheri",Electrical Engineering,93.178,"Andheri, Mumbai"
39,"Walchand College of Engineering, Sangli",Electrical Engineering,93.0762,Sangli
40,"Sardar Patel College of Engineering, Andheri",Civil Engineering,92.959,"Andheri, Mumbai"
41,"Walchand College of Engineering, Sangli",Civil Engineering,92.792,Sangli
42,"Pune Vidyarthi Griha's College of Engineering & Technology,Pune",Computer Engg,92.792,Pune
43,"LakshmiNarayan Institute of Technology ,Nagpur",Chemical Engineering,92.579,Nagpur
44,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",Electronics and Telecommunication Engineering,92.404,Pune
45,"B.R.AC.T'S Vishwakarma Institute of Technology,Kondhawa,Pune",E & TC,92.188,Pune
46,"College Of Engineering, Pune",Metallurgy & Material Technology,92.188,Pune
47,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Computer Science and engg,91.996,Nanded
48,"Rajarambapu Institute of Technology , Islampur",Computer Science & Engineering,91.942,Islampur
49,"Government College Of Engineering, Amravati ",Electronics & Telecommunication Engineering,91.4498,Amravati
50,"KIT college of enginieering(Autonomus), Kolhapur",Computer Science and engineering,91.34,Kolhapur
51,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Information Technology,91.131,Nanded
52,"Bharati Vidyapeeth College of Engineering, Navi Mumbai",Information Technology,90.587,Navi Mumbai
53,"Bharati Vidyapeeth College of Engineering, Navi Mumbai",Computer Engineering,90.5246,Navi Mumbai
54,"Rajarambapu Institute of Technology , Islampur",C.S. And I.T.,90.285,Islampur
55,"KIT college of enginieering(Autonomus), Kolhapur",CSE(DS),89.87,Kolhapur
56,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Production Engineering(Sandwich),89.758,"Matuga , Mumbai"
57,"Marathwada Mitra Mandal's College of Engineering,Karvenagar,Pune",Computer Engg,89.486,Pune
58,"Government College of Engineering, Aurangabad",Electronics & Telecommunication Engineering,88.664,Aurangabad
59,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Computer Science and engineering,88.48,Ichalkaranji
60,"JSPM'S Jaywantrao Sawant College of Engineering,Pune",Information Technology,88.4671,Pune
61,"LakshmiNarayan Institute of Technology ,Nagpur",Food Technology ,88.461,Nagpur
62,"Sinhagad College of Engineering,Vadgaon,Pune",Information Technology,87.656,Pune
63,"AISSMS College of Engineering , Pune",Computer Engg,87.628,Pune
64,"Pune Vidyarthi Griha's College of Engineering & Technology,Pune",E & TC,87.259,Pune
65,"Modern Education Society's College of Engineering, Pune",Computer Engg,87.224,Pune
66,"MIT Academy of Engineering,Alandi, Pune",Electronics and Telecommunication Engineering,87.0828,"Alandi, Pune"
67,"KIT college of enginieering(Autonomus), Kolhapur",CSE(AIML),87.08,Kolhapur
68,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",E & TC,86.728,Nanded
69,"JSPM'S Jaywantrao Sawant College of Engineering,Pune",Computer Engineering,86.51,Pune
70,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",Civil Engineering,86.503,Pune
71,"College Of Engineering, Pune",Manufacturing & Science Engi8neering,86.353,Pune
72,"KIT college of enginieering(Autonomus), Kolhapur",CSBS,86.31,Kolhapur
73,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",Mechanical Engineering,85.835,Pune
74,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Information Technology,85.797,"Wanadongri, Nagpur"
75,"AISSMS College of Engineering , Pune",E & TC,85.797,Pune
76,"LakshmiNarayan Institute of Technology ,Nagpur",Surface Coating,85.179,Nagpur
77,"AISSMS College of Engineering , Pune",A.I & D.S,85.165,Pune
78,"Rajarambapu Institute of Technology , Islampur",Electronics and Telecommunication Engineering,84.781,Islampur
79,"Government College Of Engineering, Yavatmal",Computer Engineering,84.1492,Yavatmal
80,"Zeal Eduction Socity's Zeal College of Engineering & Research, Nerhe, Pune",Computer Engineering,83.981,"Nerhe, Pune"
81,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",CSE(AIML),83.448,"Wanadongri, Nagpur"
82,"Annasaheb Dange College of Engineering & Technology , Ashta",Computer Science and engineering,83.294,Ashta
83,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Computer Technology,83.294,"Wanadongri, Nagpur"
84,"Sinhagad College of Engineering,Vadgaon,Pune",Electrical Engg,83.072,Pune
85,"Sinhagad College of Engineering,Vadgaon,Pune",E & TC,83.072,Pune
86,"LakshmiNarayan Institute of Technology ,Nagpur",Plastic & Polymer technology,81.271,Nagpur
87,"Government College of Engineering, Aurangabad",Electrical Engineering,80.9167,Aurangabad
88,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Textile Technology,80.706,"Matuga , Mumbai"
89,"LakshmiNarayan Institute of Technology ,Nagpur",Oil Technology,80.086,Nagpur
90,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Computer Science & Design,79.656,"Wanadongri, Nagpur"
91,"KIT college of enginieering(Autonomus), Kolhapur",Electronics and Telecommunication Engineering,79.28,Kolhapur
