Sr.No.,Colleges,CourseName,NT-D,City
1,"College Of Engineering, Pune",Computer Engineering,99.707,Pune
2,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Information Technology,99.584,"Matuga , Mumbai"
3,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Computer Engineering,99.423,"Matuga , Mumbai"
4,"Pune Institute of Computer Technology, Dhankavdi, Pune",Computer Engineering,99.253,"Dhankavdi, Pune"
5,"College Of Engineering, Pune",Electronics and Telecommunication Engineering,99.039,Pune
6,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Electronics & Telecommunication Engineering,98.632,"Matuga , Mumbai"
7,"College Of Engineering, Pune",Electrical Engineering,98.597,Pune
8,"Walchand College of Engineering, Sangli",Computer Science and Engineering,98.596,Sangli
9,"Bhartiya Vidhya Bhavan's Sardar Patel Institute Of Technology , Andheri, Mumbai",Computer Engineering,98.531,"Andheri, Mumbai"
10,"Bhartiya Vidhya Bhavan's Sardar Patel Institute Of Technology , Andheri, Mumbai",CSE(AI & ML),98.472,"Andheri, Mumbai"
11,"Bhartiya Vidhya Bhavan's Sardar Patel Institute Of Technology , Andheri, Mumbai",CSE(DS),98.442,"Andheri, Mumbai"
12,"Pune Institute of Computer Technology, Dhankavdi, Pune",Information Technology,98.441,"Dhankavdi, Pune"
13,"Walchand College of Engineering, Sangli",Information Technology,98.251,Sangli
14,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",Computer Engineering,97.871,Pune
15,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",Information Technology,97.579,Pune
16,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Electrical Engineering,97.21,"Matuga , Mumbai"
17,"Bhartiya Vidhya Bhavan's Sardar Patel Institute Of Technology , Andheri, Mumbai",Electronics and telecommunication Engineering,96.968,"Andheri, Mumbai"
18,"Institute Of Chemical Technology , Matuga , Mumbai",Chemical Engineering,96.905,"Matuga , Mumbai"
19,"College Of Engineering, Pune",Mechanical Engineering,96.826,Pune
20,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Civil Engineering,96.679,"Matuga , Mumbai"
21,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Electronics Engineering,96.577,"Matuga , Mumbai"
22,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",CSE(AI&ML),96.342,Pune
23,"Pune Institute of Computer Technology, Dhankavdi, Pune",Electronics & Telecommunication Engineering,96.307,"Dhankavdi, Pune"
24,"B.R.AC.T'S Vishwakarma Institute of Technology,Kondhawa,Pune",Computer Engg,96.073,Pune
25,"B.R.AC.T'S Vishwakarma Institute of Technology,Kondhawa,Pune",Information Technology,95.704,Pune
26,"Pune Vidyarthi Griha's College of Engineering & Technology,Pune",Computer Engg,95.651,Pune
27,"Government College of Engineering, Aurangabad",Computer Science & Engineering,95.5835,Aurangabad
28,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Mechanical Engineering,95.168,"Matuga , Mumbai"
29,"MIT Academy of Engineering,Alandi, Pune",Computer Engineering,94.418,"Alandi, Pune"
30,"College Of Engineering, Pune",Manufacturing & Science Engi8neering,94.343,Pune
31,"College Of Engineering, Pune",Civil Engineering,93.721,Pune
32,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",Electronics and Telecommunication Engineering,93.643,Pune
33,"Government College Of Engineering, Amravati ",Computer Science & Engineering,93.5601,Amravati
34,"Sardar Patel College of Engineering, Andheri",Civil Engineering,93.333,Andheri
35,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Computer Science and engg,93.226,Nanded
36,"Walchand College of Engineering, Sangli",Electronics Engineering,93.225,Sangli
37,"Walchand College of Engineering, Sangli",Mechanical Engineering,93.225,Sangli
38,"KIT college of enginieering(Autonomus), Kolhapur",Computer Science and engineering,93.1714502,Kolhapur
39,"B.R.AC.T'S Vishwakarma Institute of Technology,Kondhawa,Pune",E & TC,92.792,Pune
40,"Government College of Engineering, Aurangabad",Information Technology,92.3335,Aurangabad
41,"Walchand College of Engineering, Sangli",Civil Engineering,92.188,Sangli
42,"Walchand College of Engineering, Sangli",Electrical Engineering,92.01,Sangli
43,"B.R.AC.T'S Vishwakarma Institute of Technology,Kondhawa,Pune",A.I & D.S,91.734,Pune
44,"Sardar Patel College of Engineering, Andheri",Mechanical Engineering,91.1688,Andheri
45,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",Mechanical Engineering,90.203,Pune
46,AISSMS College of Engineering,Computer Engg,90.169,Pune
47,"Modern Education Society's College of Engineering, Pune",Computer Engg,90.169,Pune
48,"Marathwada Mitra Mandal's College of Engineering,Karvenagar,Pune",Computer Engg,89.578,Pune
49,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",Civil Engineering,89.461,Pune
50,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Production Engineering(Sandwich),89.43,"Matuga , Mumbai"
51,"Government College Of Engineering, Amravati ",Information Technology,88.9823,Amravati
52,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Computer Science & Engineering,88.484,"Wanadongri, Nagpur"
53,"Government College of Engineering, Aurangabad",Electronics & Telecommunication Engineering,88.4543,Aurangabad
54,"College Of Engineering, Pune",Metallurgy & Material Technology,88.325,Pune
55,"Sinhagad College of Engineering,Vadgaon,Pune",Information Technology,87.941,Pune
56,"JSPM'S Jaywantrao Sawant College of Engineering,Pune",Computer Engineering,87.884,Pune
57,"Bharati Vidyapeeth College of Engineering, Navi Mumbai",Computer Engineering,87.652,Navi Mumbai
58,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",CSE(AIML),87.526,"Wanadongri, Nagpur"
59,"Bharati Vidyapeeth College of Engineering, Navi Mumbai",Information Technology,87.2542,Navi Mumbai
60,AISSMS College of Engineering,A.I & D.S,87.223,Pune
61,"JSPM'S Jaywantrao Sawant College of Engineering,Pune",Information Technology,86.951,Pune
62,"MIT Academy of Engineering,Alandi, Pune",Electronics and Telecommunication Engineering,86.171,"Alandi, Pune"
63,"B.R.AC.T'S Vishwakarma Institute of Technology,Kondhawa,Pune",Mechanical Engineering,84.262,Pune
64,"KIT college of enginieering(Autonomus), Kolhapur",CSE(AIML),84.0382056,Kolhapur
65,"Rajarambapu Institute of Technology , Islampur",Electronics and Telecommunication Engineering,83.696,Islampur
66,"Sardar Patel College of Engineering, Andheri",Electrical Engineering,83.696,Andheri
67,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Textile Technology,83.341,"Matuga , Mumbai"
68,"Government College of Engineering, Aurangabad",Electrical Engineering,82.6733,Aurangabad
69,"Pune Vidyarthi Griha's College of Engineering & Technology,Pune",E & TC,81.616,Pune
70,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",E & TC,80.761,Nanded
71,"Rajarambapu Institute of Technology , Islampur",Computer Science & Engineering,79.785,Islampur
72,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Information Technology,79.366,"Wanadongri, Nagpur"
73,"Government College Of Engineering, Amravati ",Electrical Engineerinng,78.1473,Amravati
74,"Government College of Engineering, Aurangabad",Mechanical Engineering,77.9458,Aurangabad
75,"Tatyasaheb Kore Institute of Engineering & Technology (An Autonomous Institute), Kolhapur",Computer Science & Engineering,77.729,Kolhapur
76,"Government College Of Engineering, Yavatmal",Computer Engineering,77.6669,Yavatmal
77,"Sinhagad College of Engineering,Vadgaon,Pune",Electrical Engg,77.314,Pune
78,"Sinhagad College of Engineering,Vadgaon,Pune",E & TC,77.314,Pune
79,"KIT college of enginieering(Autonomus), Kolhapur",CSE(DS),77.0895594,Kolhapur
80,"D.Y.Patil College of Engineering and Technology, Kolhapur",Computer Science & Engineering,76.486,Kolhapur
81,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Civil Engg,73.963,Nanded
82,"MIT Academy of Engineering,Alandi, Pune",Electronics Engineering,73.443,"Alandi, Pune"
83,"Government College of Engineering, Aurangabad",Civil Engineering,72.576,Aurangabad
84,"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded",Computer Science and Engineering,72.471,Nanded
85,"Sharad Institute of Technology College of engineering, Yadrav",Computer Science & Engineering,72.469,Yadrav
86,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Computer Science & Design,72.282,"Wanadongri, Nagpur"
87,"Zeal Eduction Socity's Zeal College of Engineering & Research, Nerhe, Pune",Computer Engineering,71.503,"Nerhe, Pune"
88,"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded",Information Technology,71.447,Nanded
89,"KIT college of enginieering(Autonomus), Kolhapur",Electronics and Telecommunication Engineering,70.9370842,Kolhapur
90,"Annasaheb Dange College of Engineering & Technology , Ashta",Computer Science and engineering,70.788,Ashta
91,"Rajarambapu Institute of Technology , Islampur",Civil Engineering,70.398,Islampur
92,"Rajarambapu Institute of Technology , Islampur",C.S. And I.T.,69.714,Islampur
93,"Government College Of Engineering, Amravati ",Instrumentation Engineering,69.3404,Amravati
94,"Government College Of Engineering, Amravati ",Electronics & Telecommunication Engineering,69.1685,Amravati
95,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Electronics & Telecommunication Engineering,68.568,"Wanadongri, Nagpur"
96,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",CSE(DS),67.84,Ichalkaranji
97,"D.Y.Patil College of Engineering and Technology, Kolhapur",E&TC,67.774,Kolhapur
98,"JSPM'S Jaywantrao Sawant College of Engineering,Pune",Electronics and Telecommunication Engineering,67.7143,Pune
99,"Tatyasaheb Kore Institute of Engineering & Technology (An Autonomous Institute), Kolhapur",Electronics & Computer Engineering,66.755,Kolhapur
100,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Computer Technology,66.755,"Wanadongri, Nagpur"
101,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Mechanical Engineerng,65.808,Nanded
102,"Annasaheb Dange College of Engineering & Technology , Ashta",A.I. and D.S.,64.167,Ashta
