Sr.No.,Colleges,CourseName,SC,City
1,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Computer Engineering,98.033,"Matuga , Mumbai"
2,"College Of Engineering, Pune",Computer Engineering,97.888,Pune
3,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Information Technology,97.753,"Matuga , Mumbai"
4,"Pune Institute of Computer Technology, Dhankavdi, Pune",Computer Engineering,97.55,"Dhankavdi, Pune"
5,"Bhartiya Vidhya Bhavan's Sardar Patel Institute Of Technology , Andheri, Mumbai",Computer Engineering,97.278,"Andheri, Mumbai"
6,"College Of Engineering, Pune",Electronics and Telecommunication Engineering,97.08,Pune
7,"Pune Institute of Computer Technology, Dhankavdi, Pune",Information Technology,96.774,"Dhankavdi, Pune"
8,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Electronics & Telecommunication Engineering,96.361,"Matuga , Mumbai"
9,"Bhartiya Vidhya Bhavan's Sardar Patel Institute Of Technology , Andheri, Mumbai",CSE(AI & ML),96.234,"Andheri, Mumbai"
10,"College Of Engineering, Pune",Electrical Engineering,95.954,Pune
11,"Walchand College of Engineering, Sangli",Computer Science and Engineering,95.945,Sangli
12,"Bhartiya Vidhya Bhavan's Sardar Patel Institute Of Technology , Andheri, Mumbai",CSE(DS),95.476,"Andheri, Mumbai"
13,"Institute Of Chemical Technology , Matuga , Mumbai",Polymer Engineering & Technology,95.28,"Matuga , Mumbai"
14,"College Of Engineering, Pune",Civil Engineering,95.277,Pune
15,"Walchand College of Engineering, Sangli",Information Technology,94.67,Sangli
16,"Government College Of Engineering, Amravati ",Computer Science & Engineering,94.4417,Amravati
17,"Institute Of Chemical Technology , Matuga , Mumbai",Chemical Engineering,94.309,"Matuga , Mumbai"
18,"Government College Of Engineering, Amravati ",Information Technology,94.2929,Amravati
19,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Electrical Engineering,94.193,"Matuga , Mumbai"
20,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Electronics Engineering,93.869,"Matuga , Mumbai"
21,"Government College of Engineering, Aurangabad",Computer Science & Engineering,93.779,Aurangabad
22,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",Computer Engineering,93.779,Pune
23,"College Of Engineering, Pune",Mechanical Engineering,93.616,Pune
24,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",Information Technology,93.585,Pune
25,"LakshmiNarayan Institute of Technology ,Nagpur",Chemical Engineering,93.497,Nagpur
26,"Walchand College of Engineering, Sangli",Electronics Engineering,93.429,Sangli
27,"B.R.AC.T'S Vishwakarma Institute of Technology,Kondhawa,Pune",Computer Engg,93.214,Pune
28,"Institute Of Chemical Technology , Matuga , Mumbai",Food Enginnering & Technology,93.135,"Matuga , Mumbai"
29,"Bhartiya Vidhya Bhavan's Sardar Patel Institute Of Technology , Andheri, Mumbai",Electronics and telecommunication Engineering,93.083,"Andheri, Mumbai"
30,"College Of Engineering, Pune",Instrumentation & Control  Engineering,92.768,Pune
31,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Mechanical Engineering,92.627,"Matuga , Mumbai"
32,"MIT Academy of Engineering,Alandi, Pune",Computer Engineering,92.2448,"Alandi, Pune"
33,"Bharati Vidyapeeth College of Engineering, Navi Mumbai",Computer Engineering,92.0273,Navi Mumbai
34,"B.R.AC.T'S Vishwakarma Institute of Technology,Kondhawa,Pune",Information Technology,91.709,Pune
35,"Government College of Engineering, Aurangabad",Information Technology,91.6829,Aurangabad
36,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",CSE(AI&ML),91.438,Pune
37,"Institute Of Chemical Technology , Matuga , Mumbai","Oil, Oleochemicals&SurfactantsvTechnology",91.386,"Matuga , Mumbai"
38,"Government College of Engineering, Aurangabad",Electronics & Telecommunication Engineering,91.3297,Aurangabad
39,"Pune Vidyarthi Griha's College of Engineering & Technology,Pune",Computer Engg,91.025,Pune
40,"Pune Institute of Computer Technology, Dhankavdi, Pune",Electronics & Telecommunication Engineering,90.524,"Dhankavdi, Pune"
41,"Sardar Patel College of Engineering, Andheri",Electrical Engineering,90.203,"Andheri, Mumbai"
42,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Computer Science & Engineering,90.121,"Wanadongri, Nagpur"
43,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Civil Engineering,90.053,"Matuga , Mumbai"
44,"Pune Vidyarthi Griha's College of Engineering & Technology,Pune",Information Technology,89.901,Pune
45,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Computer Science and engg,89.758,Nanded
46,"Sardar Patel College of Engineering, Andheri",Mechanical Engineering,89.093,"Andheri, Mumbai"
47,"Walchand College of Engineering, Sangli",Electrical Engineering,89.039,Sangli
48,"Institute Of Chemical Technology , Matuga , Mumbai",Pharmactical Chemistry & Technology,88.741,"Matuga , Mumbai"
49,"Walchand College of Engineering, Sangli",Mechanical Engineering,87.943,Sangli
