Sr.No.,Colleges,CourseName,ST,City
1,"Institute Of Chemical Technology , Matuga , Mumbai",Polymer Engineering & Technology,97.268,"Matuga , Mumbai"
2,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Computer Engineering,96.49,"Matuga , Mumbai"
3,"Institute Of Chemical Technology , Matuga , Mumbai","Oil, Oleochemicals&SurfactantsvTechnology",96.449,"Matuga , Mumbai"
4,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Production Engineering(Sandwich),95.395,"Matuga , Mumbai"
5,"B.R.AC.T'S Vishwakarma Institute of Technology,Kondhawa,Pune",A.I & D.S,94.415,Pune
6,"Institute Of Chemical Technology , Matuga , Mumbai",Dyestuff Technology,94.061,"Matuga , Mumbai"
7,"LakshmiNarayan Institute of Technology ,Nagpur",Chemical Engineering,93.497,Nagpur
8,"College Of Engineering, Pune",Computer Engineering,93.076,Pune
9,"College Of Engineering, Pune",Electronics and Telecommunication Engineering,92.338,Pune
10,AISSMS College of Engineering,Computer Engg,91.446,Pune
11,"Modern Education Society's College of Engineering, Pune",Computer Engg,91.446,Pune
12,"College Of Engineering, Pune",Electrical Engineering,91.438,Pune
13,"Marathwada Mitra Mandal's College of Engineering,Karvenagar,Pune",Information Technology,91.248,Pune
14,"Institute Of Chemical Technology , Matuga , Mumbai",Fibres & Textile Processing Technology,91.168,"Matuga , Mumbai"
15,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Electronics Engineering,90.988,"Matuga , Mumbai"
16,"KIT college of enginieering(Autonomus), Kolhapur",Computer Science and engineering,90.79,Kolhapur
17,AISSMS College of Engineering,A.I & D.S,90.696,Pune
18,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Textile Technology,90.539,"Matuga , Mumbai"
19,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Information Technology,90.48,"Matuga , Mumbai"
20,"Rajarambapu Institute of Technology , Islampur",C.S. And I.T.,90.088,Islampur
21,"Pune Vidyarthi Griha's College of Engineering & Technology,Pune",E & TC,90.014,Pune
22,"Walchand College of Engineering, Sangli",Computer Science and Engineering,89.853,Sangli
23,"KIT college of enginieering(Autonomus), Kolhapur",CSE(AIML),89.11,Kolhapur
24,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Computer Science and engineering,88.46,Ichalkaranji
25,"KIT college of enginieering(Autonomus), Kolhapur",CSE(DS),88.02,Kolhapur
26,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Civil Engineering,87.928,"Matuga , Mumbai"
27,"Bhartiya Vidhya Bhavan's Sardar Patel Institute Of Technology , Andheri, Mumbai",Computer Engineering,87.224,"Andheri, Mumbai"
28,AISSMS College of Engineering,E & TC,87.223,Pune
29,"College Of Engineering, Pune",Civil Engineering,87.07,Pune
30,"Pune Institute of Computer Technology, Dhankavdi, Pune",Computer Engineering,86.366,"Dhankavdi, Pune"
