Sr.No.,Colleges,CourseName,VJ,City
1,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Computer Engineering,99.231,"Matuga , Mumbai"
2,"College Of Engineering, Pune",Computer Engineering,99.144,Pune
3,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Information Technology,99.047,"Matuga , Mumbai"
4,"College Of Engineering, Pune",Electronics and Telecommunication Engineering,98.1203,Pune
5,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Electronics & Telecommunication Engineering,97.65,"Matuga , Mumbai"
6,"Bhartiya Vidhya Bhavan's Sardar Patel Institute Of Technology , Andheri, Mumbai",Computer Engineering,97.567,"Andheri, Mumbai"
7,"Pune Institute of Computer Technology, Dhankavdi, Pune",Computer Engineering,97.269,"Dhankavdi, Pune"
8,"College Of Engineering, Pune",Civil Engineering,97.245,Pune
9,"Bhartiya Vidhya Bhavan's Sardar Patel Institute Of Technology , Andheri, Mumbai",CSE(AI & ML),96.968,"Andheri, Mumbai"
10,"Pune Institute of Computer Technology, Dhankavdi, Pune",Information Technology,96.843,"Dhankavdi, Pune"
11,"Walchand College of Engineering, Sangli",Computer Science and Engineering,96.702,Sangli
12,"Government College of Engineering, Aurangabad",Computer Science & Engineering,96.4962,Aurangabad
13,"Bhartiya Vidhya Bhavan's Sardar Patel Institute Of Technology , Andheri, Mumbai",CSE(DS),96.389,"Andheri, Mumbai"
14,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Mechanical Engineering,96.301,"Matuga , Mumbai"
15,"Bhartiya Vidhya Bhavan's Sardar Patel Institute Of Technology , Andheri, Mumbai",Electronics and telecommunication Engineering,96.101,"Andheri, Mumbai"
16,"Walchand College of Engineering, Sangli",Information Technology,96.076,Sangli
17,"Pune Vidyarthi Griha's College of Engineering & Technology,Pune",Computer Engg,96.073,Pune
18,"College Of Engineering, Pune",Electrical Engineering,95.475,Pune
19,"College Of Engineering, Pune",Mechanical Engineering,95.395,Pune
20,"Institute Of Chemical Technology , Matuga , Mumbai",Chemical Engineering,95.35,"Matuga , Mumbai"
21,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",Computer Engineering,94.946,Pune
22,"B.R.AC.T'S Vishwakarma Institute of Technology,Kondhawa,Pune",Computer Engg,94.776,Pune
23,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Civil Engineering,94.767,"Matuga , Mumbai"
24,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",Information Technology,94.767,Pune
25,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Electronics Engineering,94.743,"Matuga , Mumbai"
26,"Sardar Patel College of Engineering, Andheri",Civil Engineering,94.084,"Andheri, Mumbai"
27,"College Of Engineering, Pune",Metallurgy & Material Technology,93.779,Pune
28,"MIT Academy of Engineering,Alandi, Pune",Computer Engineering,93.5685,"Alandi, Pune"
29,"Walchand College of Engineering, Sangli",Electronics Engineering,93.543,Sangli
30,"B.R.AC.T'S Vishwakarma Institute of Technology,Kondhawa,Pune",A.I & D.S,93.429,Pune
31,"Sardar Patel College of Engineering, Andheri",Electrical Engineering,92.747,"Andheri, Mumbai"
32,"Pune Institute of Computer Technology, Dhankavdi, Pune",Electronics & Telecommunication Engineering,92.6252,"Dhankavdi, Pune"
33,"Bharati Vidyapeeth College of Engineering, Navi Mumbai",Computer Engineering,92.5464,Navi Mumbai
34,"Walchand College of Engineering, Sangli",Mechanical Engineering,92.338,Sangli
35,"B.R.AC.T'S Vishwakarma Institute of Technology,Kondhawa,Pune",Information Technology,92.315,Pune
36,"Government College of Engineering, Aurangabad",Information Technology,92.2448,Aurangabad
37,"Sardar Patel College of Engineering, Andheri",Mechanical Engineering,91.441,"Andheri, Mumbai"
38,"Government College Of Engineering, Amravati ",Computer Science & Engineering,90.8078,Amravati
39,"Walchand College of Engineering, Sangli",Civil Engineering,90.508,Sangli
40,"College Of Engineering, Pune",Instrumentation & Control  Engineering,90.465,Pune
41,"Government College Of Engineering, Amravati ",Information Technology,90.3376,Amravati
42,"College Of Engineering, Pune",Manufacturing & Science Engi8neering,90.285,Pune
43,"Sinhagad College of Engineering,Vadgaon,Pune",Information Technology,90.169,Pune
44,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Production Engineering(Sandwich),89.758,"Matuga , Mumbai"
45,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Information Technology,89.092,Nanded
46,"Walchand College of Engineering, Sangli",Electrical Engineering,88.558,Sangli
47,"Government College of Engineering, Aurangabad",Electronics & Telecommunication Engineering,87.6299,Aurangabad
48,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Computer Science & Engineering,86.728,"Wanadongri, Nagpur"
49,"KIT college of enginieering(Autonomus), Kolhapur",Computer Science and engineering,86.5103056,Kolhapur
50,AISSMS College of Engineering,Computer Engg,86.297,Pune
51,"Modern Education Society's College of Engineering, Pune",Computer Engg,86.297,Pune
52,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Textile Technology,86.222,"Matuga , Mumbai"
53,"KIT college of enginieering(Autonomus), Kolhapur",CSE(DS),85.6,Kolhapur
54,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",Civil Engineering,85.453,Pune
55,"MIT Academy of Engineering,Alandi, Pune",Electronics and Telecommunication Engineering,84.861,"Alandi, Pune"
56,"LakshmiNarayan Institute of Technology ,Nagpur",Chemical Engineering,84.781,Nagpur
57,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",CSE(AI&ML),84.781,Pune
58,"Government College Of Engineering, Amravati ",Electronics & Telecommunication Engineering,84.639,Amravati
59,"B.R.AC.T'S Vishwakarma Institute of Technology,Kondhawa,Pune",E & TC,84.262,Pune
60,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Information Technology,84.221,"Wanadongri, Nagpur"
61,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",Electronics and Telecommunication Engineering,84.003,Pune
62,"Institute Of Chemical Technology , Matuga , Mumbai",Fibres & Textile Processing Technology,83.515,"Matuga , Mumbai"
63,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Computer Technology,83.448,"Wanadongri, Nagpur"
64,"Government College Of Engineering, Yavatmal",Computer Engineering,83.1659,Yavatmal
65,"KIT college of enginieering(Autonomus), Kolhapur",CSE(AIML),82.3797757,Kolhapur
66,AISSMS College of Engineering,A.I & D.S,82.247,Pune
67,"Rajarambapu Institute of Technology , Islampur",Computer Science & Engineering,82.0962,Islampur
68,"Marathwada Mitra Mandal's College of Engineering,Karvenagar,Pune",Computer Engg,81.232,Pune
69,"Rajarambapu Institute of Technology , Islampur",C.S. And I.T.,80.706,Islampur
70,"Government College of Engineering, Aurangabad",Civil Engineering,80.1069,Aurangabad
71,"Annasaheb Dange College of Engineering & Technology , Ashta",Computer Science and engineering,79.785,Ashta
72,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Instrumentation Engineering,79.255,Nanded
73,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Electrical Engineering,78.589,"Matuga , Mumbai"
74,"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded",Computer Science and Engineering,77.0311,Nanded
75,"Bharati Vidyapeeth College of Engineering, Navi Mumbai",Information Technology,75.673,Navi Mumbai
76,"Government College of Engineering, Aurangabad",Electrical Engineering,75.5619,Aurangabad
77,"Yashwantrao Chavan College of Engineering, Wanadongri, Nagpur",Computer Science & Design,75.055,"Wanadongri, Nagpur"
78,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Civil Engg,74.523,Nanded
79,"Zeal Eduction Socity's Zeal College of Engineering & Research, Nerhe, Pune",Robotics & Automation,74.523,Pune
80,"Zeal Eduction Socity's Zeal College of Engineering & Research, Nerhe, Pune",Computer Engineering,74.523,Pune
81,"Government College Of Engineering, Amravati ",Civil Engineering,74.5106,Amravati
82,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",Electrical Engineering,74.288,Nanded
83,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",CSE(AIML),74.25,Ichalkaranji
84,"JSPM'S Jaywantrao Sawant College of Engineering,Pune",Information Technology,72.903,Pune
85,"Government College Of Engineering, Amravati ",Mechanical Engineering ,72.8974,Amravati
86,"JSPM'S Jaywantrao Sawant College of Engineering,Pune",Computer Engineering,72.641,Pune
87,"KIT college of enginieering(Autonomus), Kolhapur",Electronics and Telecommunication Engineering,72.5765063,Kolhapur
88,"Sinhagad College of Engineering,Vadgaon,Pune",Electrical Engg,71.121,Pune
89,"Sinhagad College of Engineering,Vadgaon,Pune",E & TC,71.121,Pune
90,"Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded",E & TC,71.065,Nanded
91,"KIT college of enginieering(Autonomus), Kolhapur",CSBS,70.7220669,Kolhapur
92,AISSMS College of Engineering,E & TC,70.398,Pune
93,"D.Y.Patil College of Engineering and Technology, Kolhapur",E&TC,69.048,Kolhapur
94,"Zeal Eduction Socity's Zeal College of Engineering & Research, Nerhe, Pune",Information Technology,68.565,Pune
95,"Dattajirao Kadam Technical Education Socity's Textile and Engineering Institute, Ichalkaranji",Computer Science and engineering,68.56,Ichalkaranji
96,"Tatyasaheb Kore Institute of Engineering & Technology (An Autonomous Institute), Kolhapur",Computer Science & Engineering,67.7749,Kolhapur
